Sun 03:14:44 PM 	45.7724 	-122.8401 	↑ 15° 	78 	90 	700 	 Level 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:15:00 PM    Departure (KSPB) @ Sunday 12:15:00 PM PDT
			FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:15:00 PM 	45.7781 	-122.8377 	↑ 15° 	83 	96 	900 	486 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:15:21 PM 	45.7862 	-122.8347 	↑ 15° 	83 	96 	1,000 	150 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:15:40 PM 	45.7933 	-122.8318 	↑ 17° 	86 	99 	1,000 	162 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:15:58 PM 	45.8001 	-122.8288 	↗ 30° 	82 	94 	1,100 	171 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:16:15 PM 	45.8052 	-122.8225 	↗ 46° 	87 	100 	1,100 	154 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:16:37 PM 	45.8111 	-122.8142 	↗ 41° 	80 	92 	1,200 	255 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:17:02 PM 	45.8172 	-122.8038 	↗ 55° 	81 	93 	1,300 	146 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:17:18 PM 	45.8212 	-122.7964 	↗ 48° 	82 	94 	1,300 	146 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:17:43 PM 	45.8281 	-122.7861 	↗ 43° 	81 	93 	1,400 	267 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:18:03 PM 	45.8338 	-122.7788 	↗ 43° 	79 	91 	1,500 	240 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:18:33 PM 	45.8425 	-122.7683 	↗ 43° 	85 	98 	1,600 	295 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:19:04 PM 	45.8519 	-122.7572 	↗ 38° 	79 	91 	1,800 	367 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:19:22 PM 	45.8568 	-122.7519 	↗ 36° 	83 	96 	1,900 	333 Climbing 	FlightAware ADS-B (UAT/978) (KSPB)
Sun 03:19:40 PM 	45.8634 	-122.7462 	↗ 23° 	82 	94 	2,000 	333 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:19:58 PM 	45.8702 	-122.7433 	↑ 5° 	83 	96 	2,100 	279 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:20:23 PM 	45.8796 	-122.7442 	↑ 346° 	92 	106 	2,200 	 Level 	FlightAware ADS-B (UAT/978) (KSPB)
Sun 03:20:46 PM 	45.8898 	-122.7492 	↖ 335° 	94 	108 	2,100 	-154 Descending 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:21:02 PM 	45.8959 	-122.7531 	↖ 335° 	98 	113 	2,100 	 Level 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:21:19 PM 	45.9032 	-122.7576 	↑ 340° 	92 	106 	2,100 	 Level 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:21:35 PM 	45.9093 	-122.7604 	↑ 341° 	93 	107 	2,100 	 Level 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:21:59 PM 	45.9197 	-122.7650 	↑ 346° 	89 	102 	2,100 	 Level 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:22:33 PM 	45.9334 	-122.7683 	↑ 355° 	84 	97 	2,100 	 Level 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:22:59 PM 	45.9438 	-122.7707 	↑ 351° 	87 	100 	2,100 	130 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:23:19 PM 	45.9517 	-122.7721 	↑ 355° 	85 	98 	2,200 	136 Climbing 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:23:43 PM 	45.9607 	-122.7737 	↑ 347° 	85 	98 	2,200 	 Level 	FlightAware ADS-B (UAT/978) (KVUO)
Sun 03:24:02 PM 	45.9679 	-122.7771 	↖ 335° 	89 	102 	2,200 	 Level 	FlightAware ADS-B (UAT/978) (KVUO)
